3	69	4
4	69	1
5	69	1
6	69	1
3	70	4
4	70	1
5	70	1
6	70	1
3	71	4
4	71	1
5	71	1
6	71	1
3	72	1
4	72	1
5	72	1
6	72	1
3	73	1
4	73	1
5	73	1
6	73	1
3	74	1
4	74	1
5	74	1
6	74	1
3	75	1
4	75	1
5	75	1
6	75	1
3	76	1
4	76	1
5	76	1
6	76	1
3	77	1
4	77	1
5	77	1
6	77	1
3	78	1
4	78	1
5	78	1
6	78	1
3	79	1
4	79	1
5	79	1
6	79	1
3	80	1
4	80	1
5	80	1
6	80	1
3	81	1
4	81	1
5	81	1
6	81	1
3	82	1
4	82	1
5	82	1
6	82	1
3	83	1
4	83	1
5	83	1
6	83	1
3	84	1
4	84	1
5	84	1
6	84	1
3	85	1
4	85	1
5	85	1
6	85	1
3	86	1
4	86	1
5	86	1
6	86	1
3	87	1
4	87	1
5	87	1
6	87	1
3	88	1
4	88	1
5	88	1
6	88	1
3	89	1
4	89	1
5	89	1
6	89	1
3	90	1
4	90	1
5	90	1
6	90	1
