3	22	10
4	22	1
5	22	1
6	22	1
3	23	4
4	23	1
5	23	1
6	23	1
3	24	1
4	24	1
5	24	1
6	24	1
3	25	1
4	25	1
5	25	1
6	25	1
3	26	1
4	26	1
5	26	1
6	26	1
3	27	1
4	27	1
5	27	1
6	27	1
3	28	1
4	28	1
5	28	1
6	28	1
3	29	1
4	29	1
5	29	1
6	29	1
3	30	1
4	30	1
5	30	1
6	30	1
3	31	1
4	31	1
5	31	1
6	31	1
3	32	1
4	32	1
5	32	1
6	32	1
3	33	1
4	33	1
5	33	1
6	33	1
3	34	1
4	34	1
5	34	1
6	34	1
3	35	1
4	35	1
5	35	1
6	35	1
3	36	1
4	36	1
5	36	1
6	36	1
3	37	1
4	37	1
5	37	1
6	37	1
3	38	1
4	38	1
5	38	1
6	38	1
3	39	1
4	39	1
5	39	1
6	39	1
3	40	1
4	40	1
5	40	1
6	40	1
3	41	1
4	41	1
5	41	1
6	41	1
3	42	1
4	42	1
5	42	1
6	42	1
3	43	1
4	43	1
5	43	1
6	43	1
3	44	1
4	44	1
5	44	1
6	44	1
3	45	1
4	45	1
5	45	1
6	45	1
3	46	1
4	46	1
5	46	1
6	46	1
